Date,Comments
2021-12-07 11:42,Thank you Dr. Fauci for your brave support for real science
2021-12-07 13:14,"Pass, this is over, much ado about nothing. 

The jig is up."
2021-12-07 13:53,"Goodness, isn't science fascinating!"
2021-12-07 13:54,Can you please write something about the nitric oxide nasal spray that was developed by the Vancouver-based Sanotize and which is already being sold in Israel as both an early treatment and a prophylactic? I would love to know if it works as advertised.
2021-12-07 14:26,"Wanna be empidemiologists, take notes! You'll fail the test anyway."
2021-12-07 12:43,"What about the drugs that already exist that have successfully treated hundreds of thousands of people, and done so for pennies? Why is there no mention of this?"
2021-12-07 13:59,"Twelve cheers for science and for funding scientific and academic research, including the ""big, bad government"" !

Omicron appears to be a harmless variant that produces mild symptoms, relatively speaking....but we don't know what the next variant holds.

There is a chance that Omicron will spread so quickly that it may just provide that illusive herd immunity we've been unable to achieve due to the anti-vaxx Flat Earth movement.

Omicron could be the last throes of this coronavirus pandemic."
2021-12-07 14:47,"we have been told for months that covid would eventually become endemic.  Now omicron (so far) is leading to ""cold-like symptoms"".  If there was one severe hospitalization from it we would have heard by now (thanks media).  Is this the weakened beginning of the end?  Doomsayers will tell you no but the optimist in me thinks if Fauci goes public with an 'omicron so far so good' we maybe on to something here..."
2021-12-07 13:35,"""As the world worries that the Omicron coronavirus variant may cause a surge of cases and weaken vaccines,""

This type of hype is really a problem. I understand the goal is to set up the ""solution"" of antivirals with significant side effects, but the main reason the ""world worries"" is thanks to the collective media freak out hoping for more clicks and eyeballs."
2021-12-07 15:09,"Can we finally abandon the term
‘drug cocktail’? There is nothing in the least enjoyable about this—and a cocktail is a drink. ‘Combination’ works just as well."
2021-12-07 13:32,"It's ironic that people that refused to get vaccinated might receive molnupravir in they become ill with Covid-19.  The approval of this drug for this purpose was clearly rushed through, and the possible side effects appear to be far worse than those statiscally caused by the vaccines."
2021-12-07 13:53,"Just a housekeeper question: Will taxpayers be stuck with the tab of these miracle pills for citizens who refused to get the vaccines that have been freely provided for all Americans? It’s highly unlikely that given a choice, insurance companies are willingly going to absorb the cost of such expensive optional treatments when a free shot  has simply been ignored. However, now we’re being informed about this innovative oral alternative, and (as usual) we’re provided no insights as to how the “average Joe” who has utilized his freedom and liberty to refuse the COVID vaccination, will almost certainly opt for and expect to receive this latest life saver when hit with the threat of severe illness or possible death,"
2021-12-07 13:09,"Generally I'm your typical aging boomer cynic. But this brief summary of the truly stunning progress in virology over the last 18 months is apparent even to those with the most rudimentary knowledge of the field. This pandemic may be spawning one of the greatest silver-linings in the history of humanity: as impressive as was the first ever rapid development of effective vaccines in the first year of a pandemic (and the proof-of-concept of the mRNA-template model), the likelihood of oral medications against whole classes of viruses is of much greater consequence.

We bemoan so much.

The developments show true promise to reduce humanity's suffering."
2021-12-07 13:22,"We have been on the defense against COVID for two years with masks and vaccines. We are about to go on the offense by popping pills, no less. Something a lot of Americans are already good at."
2021-12-07 13:58,"The development of these pills was financed by our government grants, cost the company $17 for a course of treatment to manufacture but we are charged hundreds of dollars by the company... not right!"
2021-12-07 13:19,"The new drugs will be meaningful when the biden administration decides to fully commit to buying enough to make them an option for all, not just those at highest risk. if there is a viable treatment that reduces death, hospitalization, and duration of illness, every American deserves access."
2021-12-07 13:52,I was first happy to read the titles that two oral drugs can reduce virus deaths. And then I read the context that critical timing and side effects could influence the effectiveness and usefulness of these drugs. We need field test data to approve these two drugs. Lab tests are not enough.
2021-12-07 14:14,"Please don't call those drugs ""convenient"". They will cost hundreds, maybe even thousands of dollars. And they need to provided in a very early stage when 9 out of 10 patients will experience spontaneous recovery anyway.

Add to that the side effects and quite likely most people will prefer not to use them."
2021-12-07 14:37,"My fear is that anti-vaxxers will see therapeutics as an alternative to vaccinations.  They aren't because they'll do little to limit the spread of the virus.

Therapeutics are an important tools in protecting individuals from hospitalization and death, but will not be effective against the spread of the virus.  Contagious people may never develop symptoms and these people would never take these drugs.   Even for symptomatic patients, they'll be contagious well before the symptoms appear and will continue to be contagious even after the treatment starts.

With our country awash in coronavirus, it's too late for standard public health measures like contact tracing.  The only way to slow the spread and end the pandemic in the US is to get vaccinated.  Like all vaccines, these are not 100% effective, but in the vast majority of cases, they'll prevent the disease from taking hold in the first place.  And I tell you this as a biochemistry professor with 40 years of experience."
2021-12-07 14:38,"The Pfizer drug will work. Its development was totally predictable by anyone who was associated with the development of antiviral drugs. The pathway and the drugs precursors were already clearly defined by earlier work on HIV, rhinovirus, MERS and SARS. It is highly likely that other drugs of the same class will soon follow. The tragedy is that any good scientist could have told you what was about to happen if someone had asked. If the process and its development had been nationalized (sort of like a Manhattan Project) the availability of a good antiviral drug could have been accelerated by several months."
2021-12-07 14:46,The FDA is again too late and too slow. The winter surge was here 2 weeks ago. The FDA needs to stop obstructing scientists at Pfizer and Merck who know what they are doing. Even after approval it will take additional weeks to distribute to pharmacies. Almost one million dead in this pandemic and the FDA moves at the speed of a giant tortoise.
