Date,Comments
2020-01-30 16:35,This is exactly why we don’t allow the outing of a whistleblower.  This is the kind of fear-based authoritarian country the Republicans are actively attempting to create.
2020-01-30 20:24,"""The government refused the change the culture...."" First of all, can the Chinese government ""change"" a ""culture"", especially this ""culture"" is something that lasted for thousands of years? The show makes it sound like the ""culture"" is introduced by the communist party which refuses to change it, but is it true?

Is this really just a ""culture"" in China? How long has the Flint government know about the water issue but not reporting? for years! Is that local rulers afraid of losing their power a ""China culture""?

The exact same thing happened 17 years ago. Actually, 17 years ago, it was much worse, and at that time that the city wasn't Wuhan, but Beijing.17 years later, the same thing happened but the country is acting much faster than it was in SARS. 17 years, it wasn't Xi in control. The podcast tried to say how Xi made things worse, but they fired the gun at the wrong target... 

Wuhan and Hubei government already know they made a huge mistake and at this point, entire China knows that they will lose their jobs. Tons of articles and posts shared in all Chinese social media. I was expecting BBC will provide something new, but what I heard is just something Chinese media posted a week ago. 

Now what Chinese people care and talk about is the nationwide surge of grocery prices, how they are blocked from normal activities, how Wuhan and Hubei people are discriminated against. But BBC doesn't care about the people, all it wants is find ways to point fingers at the government..."
2020-01-30 21:21,"Eight people shared the news via wechat group about the dangerous virus before government admitted ""human to human"" transmission. The eight people are all doctors. Unfortunately, police shut them down and accused them of spreading rumors."
2020-01-31 3:19,"This biased reporter makes me so mad. It's irresponsible to take pure hear-say or information gathered on social media as facts! The opinions of an ambulance doctor, an architect? Where is your prove?
You cannot make accusations and conclusions by justing talking to a few, or by guessing. We are not under house-arrest, we are under self-house-quarantine, willingly. It not ""not allowed to go out"" in cities other than Wuhan. The reporter sounds like we are forced, it's not all true. We don't want to go out to cause anymore troubles for the already over-worked local government staffs and other people. We take it as our civil duty. We are normal human beings, not savages.
Yes, initially, there are delays and cover-ups. But it's not the hospitals refuse to test patients for the new virus for the scares of finding out unwanted results, it's lacking of resources and proper testing tools!!!
I do not know which hospital has a respiratory department with thousands of empty beds just waiting. Be reasonable, please!
It's sad, the overwhelming negativities."
2020-01-31 9:33,"Coverage of this in China continues to come from such a negatively biased perspective. The bias that looks to further criticize China, looks to continue to try to force a western culture on China and expect them to approach everything as the west does. It’s easy to criticize and look for stories to reinforce the same old American biased criticisms of China. It’s disappointing to see the New York Times jump on the band wagon of “us versus them” and further the divide in extremely biased reporting."
2020-01-31 14:25,"Hi! 
I was just listening to the Guardian's Today in Focus (<a href=""https://www.theguardian.com/news/audio/2020/jan/30/the-race-to-contain-coronavirus-podcast"" target=""_blank"">https://www.theguardian.com/news/audio/2020/jan/30/the-race-to-contain-coronavirus-podcast</a>) where they praised China for the way the country has handled information this time compared to the SARS outbreak. 
Their claims seem of how China shares information in this case seems to be oposite to New York Times' claims. What is one to make of this?"
2020-02-01 1:18,"Love your podcasts. Well written, well researched and to the point. But Javier Hernandez’s angle on stories like this is becoming dull and repetitive. Do you have any local, Chinese journalists that could give us a different angle? I love the informative nature of your podcasts. But this one was extremely lacking. It seemed to focus more on rhetoric and hearsay rather than facts. And it ended with the same old authoritarian government angle we are well familiar with. Surely, you could address some more compelling questions people have about the outbreak?"
2020-01-31 0:45,"I feel very upset after listening to this episode. I generally like the daily. However, I feel this episode is not appropriate. This cronovirus is devastating for Chinese people. In my opinion, this episode should focus on the situation in China and how to save the people from the disease there, instead of criticizing the government. It makes me feel the daily is very inhumane and indifferent and try to find every way to play politics. Although the analysis is reasonable, it does not feel like the right time to express it. It feels to me that criticizing Chinese government is more important than people’s lives there. That is why this episode focuses on the government instead of how to fight the virus. I wish the daily could consider this in the future. There is a right time to express these views. Maybe after the virus is over. Right now does not seem like the right moment. This is especially hurting for your audience who cares about the people there."
2020-04-05 20:34,"I'm returning to this podcast in early Apr. after the US's numbers have surpassed China's. I'm trying to figure out if any of us imagined it would reach the US and that our citizens would also succumb to the disease. Barbarro makes one comment questioning whether the same lockdowns could be done in the US, so apparently, yes, it was a fleeting thought but at the end of Jan., I don't think any of us were thinking realistically about the possibility of it being as bad in our towns--even as it was in real time in the process of traveling to the US (and the rest of the world). Trump does bear a lot of responsibility for acting slowly, but based on the lack of alarmism (for the west) in the report, there were a lot of people who still thought it would remain a Chinese epidemic. As it turns out, US, local municipalities, and many other countries (Italy) reacted in exactly the SAME way as China (minimizing/denial, cover-up, then scrambling). 

This was a new thing for all of us."
2021-03-06 14:51,"It’s now March 2021, and I’ve just listened to this podcast. 

Oh my God, the 6,000 deaths they speak of sounds so .... tame. Insignificant.  The hundreds of thousands of deaths; the world crisis we now know of. It’s just so disheartening to think the Chinese government could have handled this better and saved so much suffering. 

As the saying goes: there’s a special place in hell for those decision makers who hid the real story. 

* I understand any deaths are not “insignificant.” Yet compared to today’s figures, it sort of feels that way."
