Date,Comments
2020-09-29 15:13,"We’ve always known that being overweight poses significant health risks. Logically, it would lower one’s immune system. This isn’t rocket science. In another time in America, it was called, common sense!"
2020-09-29 15:19,"We have failed so much it’s harrowing. Our country should have immediately taken a hard lined pro health initiative. We should have had mass unity for going outside getting vitamin d group home zoom workouts and created a full campaign to combat obesity in a positive and constructive way. We could attack the farm Bill and encouraged a way to get fresh produce in poor neighborhoods. We could have had White House cooking classes. There’s so many unifying things we could have done with care and compassion in mine but we don’t and just won’t. We protect feelings over mortality. It’s not about beauty it’s about life, human life. If we tackle obesity we could have affordable healthcare but we refuse. Well it’s going to cost us the economy and the loss of people we love."
2020-09-29 15:26,"Right now I am eating like crazy due to stress.  I understand maintaining a reasonable weight is difficult for people who live under economic  stress.   But, we do ultimately control what goes in our mouths.   We don’t all live near places where you can buy fresh produce.   But, with some exceptions, the vast majority of Americans do not live in food deserts.  And, I would like to remind people that frozen vegetables have the same, or even more, nutritional value.  Quick freezing maintains the vitamins that can be lost in transit on the way to the grocery store.   Also, labeling reading is a helpful practice which avoids excess fat and sugar, even when shopping at Walmart, which I do routinely.  It’s rare that I buy in to the old Republican saw of “personal responsibility” but people of all economic strata can and should take more control of what they put in their mouths."
2020-09-29 15:29,"I was so scared of COVID, I lost 20 lbs with 15 to go.  I could not have lost this weight if I were not working from home and doing so many things remotely.  It takes time to create a healthier eating plan and exercise - all that time used to go into driving myself and others around.  I really wish our entire culture could be transformed and all didn't have to make sacrifices to hang on to our health insurance."
2020-09-29 15:33,"I'm obese. I'm not proud of it and even if I try to lose weight, it will take a long time before it will make a difference. So I do other things that have shown to help. I wear a mask. I rarely go out, don't socialize especially in crowds and never indoors. 

Only my grandchildren come into my house and then, only rarely. I wash my hands frequently. I took the Senior flu shot last week. 

I'm still debating the COVID-10 vaccine. From this article, it sounds that it won't help me too much. I wish others would step up to the plate and follow recommendations of Dr. Fauci and others like him. If everyone did all these things, the virus would be under control quickly."
2020-09-29 15:33,"lots of folks gained weight during the shutdown with popular places to exercise like the gym, trails, parks, beaches closed.  
Food deliveries from grocery stores often did not have meat and produce choices available, so deliveries included  carbs and packaged goods only.
A lot of the ""covid"" pre shutdown buying was shelf stable items purchased in  large quantities like flour and baking items.
All of these caused increase in obesity.
Gyms in California are still closed.
A survey of pre covid and current weight would be useful"
2020-09-29 15:43,"I am slim and believe obesity leads to all kinds of health problems, and am in no way advocating putting on more weight in a country with an obesity epidemic, but I have also noticed that my sister-in-law has been overweight (hard to say whether she tips into obese, very close) for as long as I’ve known her; she has boundless energy even though she barely gets enough sleep, and never gets sick despite being exposed to every germ as a schoolteacher and being often cold in the winter.

She wasn’t even eating well (hence the weight problems), though she has finally decided to change her habits, more to lose weight rather than improve her health.

Whereas I am increasingly getting sick in the winter, and severely, even with the flu shot.

So I wonder whether there are other factors contributing to her very strong immune response and overall excellent health..."
2020-09-29 15:45,"This has been known for months.  That public figures (Doctor Fauci, anyone?) haven't been urging diet and exercise as much if not more than masks and social distancing has me completely flummoxed.  Can it be because our culture has become SO sensitive to this, that or the other ""victim"" that we can't even speak the truth anymore?

Sadly, I see this in arenas far beyond the Covid one."
2020-09-29 15:45,Aren't there still healthy vegetable options that come in a can?
2020-09-29 15:47,"When COVID=19 forced me to work from home, I started making cookies and cake. Seeing the pounds add on, I finally stopped. In the last two weeks I've lost 9 1/4 inches and 10 lbs with 40 lbs. to go. Whatever vegetables I can't eat I freeze them. Also, I pre- chop cucumbers, carrots, red onions, etc. to add to my salads later. The pandemic is frightening enough, but as a senior, I need to do everything I can to stay healthy."
